timestamp,temperature,humidity,windSpeed,hour,Cluster,season_fall,season_spring,season_summer,season_winter,demand,demand_next_24h
2018-07-05 12:00:00,72.95,0.8533333333333334,3.6133333333333333,12.0,0.0,0.0,0.0,1.0,0.0,10546.666666666666,11309.0
2018-07-05 13:00:00,73.95333333333333,0.8233333333333333,4.943333333333334,13.0,0.0,0.0,0.0,1.0,0.0,10973.333333333334,10916.0
2018-07-05 14:00:00,75.26666666666667,0.7766666666666667,4.746666666666667,14.0,0.0,0.0,0.0,1.0,0.0,11403.333333333334,10455.666666666666
2018-07-05 15:00:00,78.03666666666668,0.7033333333333333,4.9366666666666665,15.0,0.6666666666666666,0.0,0.0,1.0,0.0,11733.666666666666,9722.0
2018-07-05 16:00:00,80.94333333333333,0.63,4.943333333333333,16.0,1.0,0.0,0.0,1.0,0.0,11988.0,9001.666666666666
2018-07-05 17:00:00,83.07000000000001,0.58,5.2,17.0,1.0,0.0,0.0,1.0,0.0,12164.0,8466.0
2018-07-05 18:00:00,85.89,0.5333333333333333,6.53,18.0,1.0,0.0,0.0,1.0,0.0,12163.333333333334,8096.666666666667
2018-07-05 19:00:00,87.03666666666668,0.5066666666666667,6.686666666666667,19.0,1.0,0.0,0.0,1.0,0.0,11839.0,7904.666666666667
2018-07-05 20:00:00,88.2,0.49666666666666665,8.443333333333333,20.0,1.0,0.0,0.0,1.0,0.0,11309.0,7852.666666666667
2018-07-05 21:00:00,87.98333333333333,0.5133333333333333,8.946666666666667,21.0,1.0,0.0,0.0,1.0,0.0,10916.0,7960.666666666667
2018-07-05 22:00:00,87.18333333333334,0.5266666666666667,9.57,22.0,1.3333333333333333,0.0,0.0,1.0,0.0,10455.666666666666,8201.666666666666
2018-07-05 23:00:00,86.3,0.5666666666666668,9.520000000000001,23.0,1.3333333333333333,0.0,0.0,1.0,0.0,9722.0,8567.333333333334
2018-07-06 00:00:00,85.63333333333333,0.5766666666666667,9.956666666666667,0.0,1.0,0.0,0.0,1.0,0.0,9001.666666666666,9030.333333333334
2018-07-06 01:00:00,84.43333333333334,0.5933333333333334,9.353333333333333,1.0,1.0,0.0,0.0,1.0,0.0,8466.0,9457.0
2018-07-06 02:00:00,82.88333333333334,0.6066666666666667,8.413333333333334,2.0,1.0,0.0,0.0,1.0,0.0,8096.666666666667,10009.333333333334
2018-07-06 03:00:00,81.24000000000001,0.64,8.256666666666666,3.0,1.0,0.0,0.0,1.0,0.0,7904.666666666667,10626.333333333334
2018-07-06 04:00:00,79.68,0.6766666666666667,7.503333333333333,4.0,1.0,0.0,0.0,1.0,0.0,7852.666666666667,11310.0
2018-07-06 05:00:00,78.86333333333333,0.6966666666666667,7.146666666666666,5.0,1.0,0.0,0.0,1.0,0.0,7960.666666666667,11883.0
2018-07-06 06:00:00,78.69666666666666,0.7066666666666667,7.376666666666666,6.0,1.0,0.0,0.0,1.0,0.0,8201.666666666666,8176.0
2018-07-06 07:00:00,77.99,0.7133333333333334,6.973333333333334,7.0,1.0,0.0,0.0,1.0,0.0,8567.333333333334,7068.0
2018-07-06 08:00:00,77.69,0.7266666666666667,6.906666666666666,8.0,1.0,0.0,0.0,1.0,0.0,9030.333333333334,7643.666666666667
2018-07-06 09:00:00,77.27,0.7333333333333334,6.696666666666666,9.0,1.0,0.0,0.0,1.0,0.0,9457.0,6243.0
2018-07-06 10:00:00,76.58,0.7433333333333333,5.29,10.0,0.3333333333333333,0.0,0.0,1.0,0.0,10009.333333333334,5578.666666666667
